id,writer,Group,condition1,sentence,condition2,type
1,,A,Positive,"In Maria's class, no test is too easy to fail",null,exp-adj
1,,B,Neutral,"In Maria's class, no test is too cumulative to fail",null,exp-adj
1,,C,Negative,In Maria's class no test is too difficult to fail,null,exp-adj
2,,B,Positive,In Laura's opinion no relationship is too positive to fail,null,exp-adj
2,,C,Neutral,"In Laura's opinion, no relationship is too stable to fail",null,exp-adj
2,,A,Negative,"In Laura's opinion, no relationship  is too volatile to fail",null,exp-adj
3,Jaclyn Desautels,C,Positive,"According to Mark, no drug is too safe to ban",null,exp-adj
3,Jaclyn Desautels,A,Neutral,"According to Mark, no drug is too innocuous to ban",null,exp-adj
3,Jaclyn Desautels,B,Negative,"According to Mark, no drug is too dangerous to ban",null,exp-adj
4,Jaclyn Desautels,A,Positive,"When Jack inspects the uniforms, no stain is too subtle to miss",null,exp-adj
4,Jaclyn Desautels,B,Neutral,"When Jack inspects the uniforms, no stain is too circular to miss ",null,exp-adj
4,Jaclyn Desautels,C,Negative,"When Jack inspects the uniforms, no stain is too obvious to miss. ",null,exp-adj
5,Jaclyn Desautels,B,Positive,"Considering John's finances, no salary offer is too high to reject",null,exp-adj
5,Jaclyn Desautels,C,Neutral,"Considering John's finances, no salary offer is too neutral to reject",null,exp-adj
5,Jaclyn Desautels,A,Negative,"Considering John's finances, no salary offer is too low to reject ",null,exp-adj
6,,C,Positive,"Given Lily's relationship with her mother, no topic is too pleasant to avoid ",null,exp-adj
6,,A,Neutral,"Given Lily's relationship with her mother, no topic is too current to avoid",null,exp-adj
6,,B,Negative,"Given Lily's relationship with her mother, no topic too contentious  to avoid",null,exp-adj
7,Elijah Doyle,A,Positive,"For someone like Alex, no memory is too pleasant to forget",null,exp-adj
7,Elijah Doyle,B,Neutral,"For someone like Alex, no memory is too average to forget",null,exp-adj
7,Elijah Doyle,C,Negative,"For someone like Alex, no memory is too embarrassing to forget",null,exp-adj
8,Elijah Doyle,B,Positive,"With Liz's eating habits, no craving is too strong to resist",null,exp-adj
8,Elijah Doyle,C,Neutral,"With Liz's eating habits, no craving is too normal to resist",null,exp-adj
8,Elijah Doyle,A,Negative,"With Liz's eating habits, no craving is too weak to resist",null,exp-adj
9,"Nuria ",C,Positive,No rumor is too credible to claim,null,exp-adj
9,"Nuria ",A,"Neutral ",No rumor is too impartial to claim,null,exp-adj
9,"Nuria ",B,Negative,No rumor is too absurd to claim,null,exp-adj
10,Jaclyn Desautels,A,Positive,"According to the politician, no social program is too efficient to oppose.",null,exp-adj
10,Jaclyn Desautels,B,Neutral,"According to the politician, no social program is too public. ",null,exp-adj
10,Jaclyn Desautels,C,"Negative ","According to the politician, no social program is too wasteful to oppose.",null,exp-adj
11,Jaclyn Desautels,B,Positive,"In Sarah's opinion, some players are too fast to lose.",null,exp-adj
11,Jaclyn Desautels,C,Neutral,"In Sarah's opinion, some players are too midwestern to lose. ",null,exp-adj
11,Jaclyn Desautels,A,"Negative ","In Sarah's opinion, some players are too slow to lose.",null,exp-adj
12,Jaclyn Desautels,C,Postive,"When Lulu is talking, some sentences are too simple to misunderstand.",null,exp-adj
12,Jaclyn Desautels,A,Neutral,"When Lulu is talking, some sentences are too neutral to misunderstand. ",null,exp-adj
12,Jaclyn Desautels,B,Negative,"When Lulu is talking, some sentences are too complex to misunderstand.",null,exp-adj
13,Elijah Doyle,A,Postive,"For Alexander the great, no kingdom was too rich to conquer ",null,exp-adj
13,Elijah Doyle,B,"Neutral ","For Alexander the great, no kingdom was too rich to conquer ",null,exp-adj
13,Elijah Doyle,C,Negative,"For Alexander the great, no kingodm was too poor to conquer",null,exp-adj
14,Elijah Doyle,B,Positive,"According to grandma, no polition is too genuine to dislike",null,exp-adj
14,Elijah Doyle,C,Neutral,"According to grandma, no politition is too moderate to dislike",null,exp-adj
14,Elijah Doyle,A,Negative,"According to grandma, no politition is too radical to dislike",null,exp-adj
15,Elijah Doyle,C,Positive,"For Frank, no advice is too helpful to doubt",null,exp-adj
15,Elijah Doyle,A,Neutral,"For Frank, no advice is too standard to doubt",null,exp-adj
15,Elijah Doyle,B,Negative,"For Frank, no advice is too stupid to doubt",null,exp-adj
16,Elijah Doyle,A,Positive,"When Sarah is talking, no sentence is too straightforward to misunderstand",null,exp-adj
16,Elijah Doyle,B,Neutral,"When Sarah is talking, no sentence is too typical to misunderstand",null,exp-adj
16,Elijah Doyle,C,Negative,"When Sarah is talking, no sentnece is too complicated to misunderstand",,exp-adj
